<><>2019/12/22(日) 12:38:05<> でし <>買う
名無しさん<><>2020/01/04(土) 15:40:25<> 傾向として黙っても売れる作品とそうじゃない作品があるからな <br>円盤売れない作品はキャラクターが童心を完全に捨て去ってる作<br>こういうのは本当に売れない <br>幼稚なキャラの方が売れるというｗ <br>作り手としてはあえて幼稚キャラにするのも疲れるだろうが、実際に売れるのは幼稚キャラだから <br>客に合わせるなら幼稚にしないといけないというｗ <br>もおおお<br>すぐれない、 <>
名無しさん<><>2020/01/22(水) 02:07:43<> &gt;&gt;25<br> <>
名無しさん<><>2020/02/08(土) 13:43:33<> katjusha.addEventListener(&apos;click&apos;, function(event){<br>    if(コンテキスト.dataset.open){<br>        delete コンテキスト.dataset.open<br>        delete コンテキスト.target<br>    }<br>}) <>
名無しさん<><>2020/02/08(土) 13:49:09<> 　　　　　　　　 　 　 　 .　-―-　.　　　　　　やったッ！！　さすが山田くぅん! <br>　　　　　　 　 　 　 ／　　　　　　 ヽ <br>　　　　　　　　　　//　　　　　　　　 &apos;,　　　　　　うどん丸にできない事を <br>　　　　　 　 　 　 | { ＿＿＿＿＿ 　|　　　　　　　　平然とやってのけるッ！ <br>　　　　　 　 (⌒ヽ7´　　　　　　　 ｀`ヒﾆ¨ヽ <br>　　　　　　　 ヽ､..二二二二二二二. -r‐&apos;&apos;′　　　　　そこにシビれる！ <br>　　　　　　　　/´ 〉&apos;&quot;＞､､,,.ィ二¨&apos;　{.　 ヽ　 　　 ＿　＿　　　　　　あこがれるｩ！ <br>　　　　　　 　 `r､|　ﾞ._(9,)Ｙ´_(9_l′ )　 （　 , -&apos;′　｀¨¨´￣｀ヽ、 <br>　　　　　　　　 {（,|　`&apos;&apos;&apos;７､,. ､ ⌒　　|/ﾆＹ　{　　 　 　 　 　 　 　 ＼ <br>　　　　 　 　 　 ヾ|　　　^&apos;^ ′-､　,ﾉr&apos;)リ　 ,ゝ､ｰ｀――-&apos;- ∠,_　 ﾉ <br>　　　　　　　　 　 | 　 ｢匸匸匚|　&apos;&quot;|ィ&apos;（　（,ﾉ,r&apos;ﾞへ.￣￣,二ﾆ､ﾞ}了 <br>　　　　, ヘｰ‐- ､ l 　｜ /＾&apos;&apos;⌒|　　| |　,ゝ )､,&gt;（_9,`!i!}i!ｨ_9,）　|人 <br>　 -‐ノ .ヘー‐-ｨ ヽ 　!‐}_＿,..ﾉ　 ｜| /-‐ヽ| 　 -イ,__,.&gt;‐　　ﾊ　} <br>　&apos;&apos;&quot;/／ヽｰ､ 　ﾉヽ∧　`ｰ一&apos;´　／　|′　丿!　　, -===- ､　　}くｰ- ..._ <br>　 /／＾＼ 　ヾ-､ :| ﾊ 　￣　／　ﾉ　|.　　{ {ﾊ. 　Ｖ&apos;二&apos;二ソ　 ﾉ| |　　　 ｀ヽ <br>,ノ 　 ヽ,_　ヽノヽ_)ﾉ:l　&apos;ｰｰ＜.　　/ 　|.　　ヽヽヽ._ ｀二¨´　／ノ ﾉ <br>/　 　 &lt;＾_,.ｲ `r‐&apos;ﾞ :::ヽ 　＼　｀丶､ 　|、 　　＼＼&apos;ｰ--‐&apos;&apos;&quot;／／ <br>＼＿＿_,／|　 !　　::::::l、　　＼　　＼| ＼　　　＼ヽ 　　/ ノ <>
名無しさん<><>2020/02/08(土) 14:04:55<> 　　　　　　_,,,　 <br>　　　　 _/･e･)　うどん＋飯物は御法度 <br>　　∈ミ;;;ﾉ,ﾉ <br>　　　　　ヽヽ <>
名無しさん<><>2020/02/08(土) 14:05:06<>   へっぉ <>
名無しさん<><>2020/02/08(土) 15:50:40<> 1 <>
名無しさん<>sage<>2020/02/08(土) 16:03:04<> aaa <>
名無しさん<>sage<>2020/02/08(土) 16:06:54<> as <>
名無しさん<><>2020/02/08(土) 18:15:02<> &gt;&gt;30 <>
名無しさん<><>2020/02/16(日) 03:30:36<> ? <>
名無しさん<><>2020/02/17(月) 22:29:09<> 38 <>
名無しさん<><>2020/02/20(木) 00:59:41<> 39 <>
名無しさん<><>2020/02/20(木) 01:02:05<> 2 <>
名無しさん<><>2020/02/20(木) 01:10:48<> 41 <>
名無しさん<><>2020/02/20(木) 01:16:33<> 42 <>
